,peak_rank,debut_rank,lifetime_peak_rank,sensationality,avg_rank_score,std_rank_score,time_on_chart,num_occurrences,rank_sum,skewness,kurtosis,spotify_popularity,top_10,top_25,top_50
415,54,0.018518518518518517,54,0.018516401922884285,0.018518518518518517,0.0,1,1,0.018518518518518517,0.0,-3.0,64.0,False,False,False
416,57,0.017543859649122806,57,0.02828899794136075,0.014148273910582909,0.003395585738539897,2,2,0.028296547821165818,0.0,-2.0,69.0,False,False,False
417,61,0.01639344262295082,61,0.23628586904668936,0.012725275544349742,0.0016110070470228375,19,19,0.19087913316524613,0.5719794445425691,-0.3083313792546831,83.0,False,False,False
418,62,0.016129032258064516,62,0.09200329944658736,0.011479922079932354,0.0020150725300389174,8,8,0.08035945455952648,1.602015761646569,1.1510868578453222,87.0,False,False,False
419,68,0.014705882352941176,68,0.01470482233201209,0.014705882352941176,0.0,1,1,0.014705882352941176,0.0,-3.0,62.0,False,False,False
420,69,0.014492753623188406,69,0.01449173902288714,0.014492753623188406,0.0,1,1,0.014492753623188406,0.0,-3.0,55.0,False,False,False
421,71,0.014084507042253521,71,0.014083575785919678,0.014084507042253521,0.0,1,1,0.014084507042253521,0.0,-3.0,53.0,False,False,False
422,75,0.013333333333333334,75,0.01333254326605915,0.013333333333333334,0.0,1,1,0.013333333333333334,0.0,-3.0,68.0,False,False,False
423,79,0.012658227848101266,79,0.01265755181239081,0.012658227848101266,0.0,1,1,0.012658227848101266,0.0,-3.0,53.0,False,False,False
424,81,0.012345679012345678,81,0.0123450518251087,0.012345679012345678,0.0,1,1,0.012345679012345678,0.0,-3.0,75.0,False,False,False
425,82,0.012195121951219513,82,0.012194517430273333,0.012195121951219513,0.0,1,1,0.012195121951219513,0.0,-3.0,82.0,False,False,False
426,84,0.011904761904761904,84,0.011904199542372096,0.011904761904761904,0.0,1,1,0.011904761904761904,0.0,-3.0,59.0,False,False,False
427,88,0.011363636363636364,88,0.01136314725166021,0.011363636363636364,0.0,1,1,0.011363636363636364,0.0,-3.0,0.0,False,False,False
428,92,0.010869565217391304,92,0.01086913716715654,0.010869565217391304,0.0,1,1,0.010869565217391304,0.0,-3.0,68.0,False,False,False
429,93,0.010752688172043012,93,0.010752273781519772,0.010752688172043012,0.0,1,1,0.010752688172043012,0.0,-3.0,65.0,False,False,False
430,95,0.010526315789473684,95,0.010525927023111059,0.010526315789473684,0.0,1,1,0.010526315789473684,0.0,-3.0,85.0,False,False,False
431,1,1.0,1,0.9659640230165205,0.11016394996640796,0.22053468404686033,20,20,1.982951099395343,3.62122735266091,11.738830740013984,76.0,True,True,True
432,38,0.02631578947368421,38,0.24051876427349006,0.012870912583489616,0.0035215931231400337,19,19,0.2188055139193235,3.193863500794997,9.54974987228375,76.0,False,False,True
433,41,0.024390243902439025,41,0.04793511256909877,0.015990625990321493,0.005956680150156148,3,3,0.04797187797096448,0.6887448568875365,-1.5000000000000002,65.0,False,False,True
434,55,0.01818181818181818,55,0.018179814940573413,0.01818181818181818,0.0,1,1,0.01818181818181818,0.0,-3.0,2.0,False,False,False
435,57,0.017543859649122806,57,0.01754205994664937,0.017543859649122806,0.0,1,1,0.017543859649122806,0.0,-3.0,60.0,False,False,False
436,59,0.01694915254237288,59,0.01694752971319069,0.01694915254237288,0.0,1,1,0.01694915254237288,0.0,-3.0,62.0,False,False,False
437,62,0.016129032258064516,62,0.1883897849203242,0.012657286300791258,0.0018065019771829906,15,15,0.13923014930870384,0.1929436491030941,-0.8907398553269816,70.0,False,False,False
438,67,0.014925373134328358,67,0.014924264940721521,0.014925373134328358,0.0,1,1,0.014925373134328358,0.0,-3.0,57.0,False,False,False
439,70,0.014285714285714285,70,0.014284742547741258,0.014285714285714285,0.0,1,1,0.014285714285714285,0.0,-3.0,64.0,False,False,False
440,76,0.013157894736842105,76,0.013157135446468793,0.013157894736842105,0.0,1,1,0.013157894736842105,0.0,-3.0,76.0,False,False,False
441,78,0.01282051282051282,78,0.01281981044981495,0.01282051282051282,0.0,1,1,0.01282051282051282,0.0,-3.0,64.0,False,False,False
442,84,0.011904761904761904,84,0.011904199542372096,0.011904761904761904,0.0,1,1,0.011904761904761904,0.0,-3.0,53.0,False,False,False
443,86,0.011627906976744186,86,0.011627382942214881,0.011627906976744186,0.0,1,1,0.011627906976744186,0.0,-3.0,50.0,False,False,False
444,98,0.01020408163265306,98,0.01020372748658005,0.01020408163265306,0.0,1,1,0.01020408163265306,0.0,-3.0,50.0,False,False,False
445,23,0.01,23,0.5297540752160659,0.019740178337068634,0.010397082222445633,28,28,0.4935044584267159,0.9234462751885284,-0.5178459996666689,79.0,False,True,True
446,33,0.030303030303030304,33,0.042472585520129114,0.021249076127124907,0.009053954175905396,2,2,0.04249815225424981,4.993022056854774e-16,-1.9999999999999998,67.0,False,False,True
447,38,0.024390243902439025,38,0.07653012337008525,0.02123101545437874,0.005882154590974578,4,4,0.06369304636313622,-0.6507010365398058,-1.500000000000001,71.0,False,False,True
448,66,0.015151515151515152,66,0.015150355821551997,0.015151515151515152,0.0,1,1,0.015151515151515152,0.0,-3.0,74.0,False,False,False
449,16,0.01282051282051282,16,0.6396920708864391,0.027834745138109268,0.013880950486693683,25,25,0.5845296479002945,0.9469444961259991,-0.08525169943904576,74.0,False,True,True
450,50,0.012195121951219513,50,0.1657407422243562,0.015207626340320558,0.00238293794961336,11,11,0.16728388974352615,0.7097435854733025,-0.5818289691003686,60.0,False,False,True
451,83,0.012048192771084338,83,0.012047609837264606,0.012048192771084338,0.0,1,1,0.012048192771084338,0.0,-3.0,0.0,False,False,False
452,84,0.011904761904761904,84,0.011904199542372096,0.011904761904761904,0.0,1,1,0.011904761904761904,0.0,-3.0,70.0,False,False,False
453,86,0.011627906976744186,86,0.011627382942214881,0.011627906976744186,0.0,1,1,0.011627906976744186,0.0,-3.0,78.0,False,False,False
454,50,0.011494252873563218,50,0.20966386311272456,0.01426155952666745,0.002821586058591043,15,15,0.19966183337334428,0.7853837377364894,-0.6242717943304648,63.0,False,False,True
455,88,0.011363636363636364,88,0.01136314725166021,0.011363636363636364,0.0,1,1,0.011363636363636364,0.0,-3.0,74.0,False,False,False
456,17,0.011111111111111112,17,0.6324546507217332,0.026561546977225677,0.016111384845995103,26,26,0.6109155804761905,0.7099842115388684,-0.9648815692883992,73.0,False,True,True
457,50,0.010869565217391304,50,0.2798999727303655,0.015576934546068597,0.0029568035184384693,18,18,0.23365401819102896,-0.025146305744421126,-1.4039433798727523,84.0,False,False,True
458,33,0.010309278350515464,33,0.4123678538427229,0.017335238231942905,0.0072044529104265415,25,25,0.34670476463885813,0.6222225524574105,-1.241124569562429,69.0,False,False,True
459,64,0.015625,64,0.027112606508910453,0.013559626436781609,0.002065373563218391,2,2,0.027119252873563218,0.0,-2.0,55.0,False,False,False
460,80,0.0125,80,0.02313416948941316,0.011569148936170212,0.0009308510638297877,2,2,0.023138297872340424,2.820281395074676e-15,-2.0,68.0,False,False,False
